bodyType,color,fuelType,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Состояние,Владельцы,ПТС,Таможня,Владение,Price
седан 2 дв.,оранжевый,Бензин,1972,механическая,2.0,101,117000,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,42 года и 7 месяцев,1000000
кабриолет,красный,Бензин,2009,автоматическая,2.0,156,36000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,1150000
хэтчбек 5 дв.,белый,Бензин,2017,автоматическая,1.5,136,28813,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,1297000
хэтчбек 5 дв.,белый,Бензин,2016,автоматическая,1.5,136,82240,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,1032840
хэтчбек 5 дв.,пурпурный,Бензин,2017,автоматическая,1.5,136,79871,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,2 года и 6 месяцев,1250000
хэтчбек 5 дв.,чёрный,Бензин,2009,автоматическая,1.6,115,156000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,390000
хэтчбек 5 дв.,коричневый,Дизель,2012,автоматическая,2.0,184,77000,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,927000
хэтчбек 5 дв.,чёрный,Бензин,2010,автоматическая,1.6,115,162800,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,415000
хэтчбек 5 дв.,красный,Бензин,2012,автоматическая,1.6,136,59572,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,704000
хэтчбек 5 дв.,оранжевый,Бензин,2012,автоматическая,1.6,170,153500,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,750000
хэтчбек 3 дв.,белый,Бензин,2009,автоматическая,2.0,136,187000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,2 года и 6 месяцев,500000
хэтчбек 3 дв.,чёрный,Бензин,2012,автоматическая,1.6,170,159000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,3 года и 2 месяца,650000
хэтчбек 5 дв.,синий,Бензин,2019,автоматическая,1.5,136,19653,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,1747000
хэтчбек 5 дв.,белый,Бензин,2009,автоматическая,2.0,156,148000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,5 лет и 5 месяцев,550000
хэтчбек 3 дв.,белый,Бензин,2011,автоматическая,1.6,115,99896,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,557000
хэтчбек 5 дв.,чёрный,Бензин,2008,автоматическая,1.6,115,189000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,400000
купе,голубой,Дизель,2010,автоматическая,2.0,204,296244,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,526271
хэтчбек 3 дв.,чёрный,Бензин,2007,автоматическая,2.0,136,163880,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,429000
хэтчбек 5 дв.,чёрный,Бензин,2012,автоматическая,1.6,170,81000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,639999
хэтчбек 5 дв.,чёрный,Бензин,2012,автоматическая,1.6,136,67000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,550000
хэтчбек 5 дв.,чёрный,Бензин,2016,автоматическая,1.5,136,39000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,4 месяца,1075000
хэтчбек 5 дв.,чёрный,Бензин,2013,автоматическая,1.6,136,74200,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,3 года и 5 месяцев,780000
